Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Wu (Three Kingdoms),221,,221,,221,280,,280,59-59 years,59,Empire,Imperial Dynasty,Eastern Asia,"Wuchang (222–229, 265–266), Jianye (229–265, 266–280)","Taagepera (1979), Qiu (1993), Wilkinson (2018), verified with Blitstein (2016)",Conquered by Jin Dynasty.,,,,,Wuchang,30.55465278,Asia,114.3165972,Jianye,32.05837,118.79647,,,,,FALSE
Funan  (Early and Late),225,,225,,450,639,,639,414-414 years,414,Confederacy,unknown,South-Eastern Asia,Vyadhapura/Angkor Borei,"Seshat (2020), Verified with Jacobsen (2016)",Decline due to changing trade networks (partly due to new nautical technologies) which they were economically dependent upon.,,,"Referred to by the chinese as a unified state, but it was likely a cluster of competing city states.",,Vyadhapura (likely modern-day Prey Veng),11.483333,Asia,105.333333,Angkor Borei,10.995,104.974722,,,,,FALSE
Sasanian/Sassanid Empire (Neo-Persian Empire),227,,227,,615,630,642,636,403-415 years,409,Empire,unknown,Western Asia,Estakhr,Taagepera (1979),Conquest by Islam Empire.,,,Severe defeats by Byzantines in 630 B .,,Estakhr,29.980833,Asia,52.909444,,,,,,,,FALSE
Vakataka Kingdom,250,255,252.5,,510,550,,550,295-300 years,297.5,Kingdom,unknown,Southern Asia,"Padmapura, Nandivardhan","Seshat (2020), early state formation and end fom Majumdar (2016).",,,,,,Padmapura (could not be located).,,Asia,,Nandivardhan (modern day Nagardhan),21.35,79.317,,,,,FALSE
Western Jin Dynasty,265,,265,,,316,317,316.5,51-52 years,51.5,Empire,Imperial Dynasty,Eastern Asia,"Luoyang (266–311), Chang'an (312–316)","Qiu (1993) and Wilkinson (2018, Verified by Seshat (2020).",Jin imperial court weakened in the War of the Eight Princes (a series of civil wars); the central plains invaded by the populations of the steppes.,,,,,Luoyang,34.66972222,Asia,112.4422222,Chang'an,34.26666667,108.9,Jiankang,32.05837,118.79647,,FALSE
Pallavas of Kanchi,300,,300,642,,897,,897,597-597 years,597,Empire,unknown,Southern Asia,Kanchi,Mishra (2016),Defeated by Chola king Aditya I,,,Pallava Empire emerged in the early 4th century - sources for this period are poor,,,,,,,,,,,,,FALSE
Chao,316,329,322.5,,329,352,,352,23-36 years,29.5,Kingdom,unknown,Eastern Asia,Unclear,Taagepera (1979),Destruction by the Hsien Pi Mongols,,,,,Unclear,,,,,,,,,,,FALSE
Liu-Sung Dynasty (Northern-Southern Dynasties),317,420,368.5,,330,479,,479,59-162 years,110.5,Empire,Imperial Dynasty,Eastern Asia,,"Taagepera (1979), verified with Blitstein (2016).",Warlords.,,,,,Jiankang,32.05837,Asia,118.79647,,,,,,,,FALSE
Eastern Jin Dynasty,317,,317,,,420,,420,103-103 years,103,Empire,Imperial Dynasty,Eastern Asia,Jiankang (317–420),"Qiu (1993) and Wilkinson (2018), causes from Blitstein (2016).",Throne usurped by Liu Yu after he briefly unified the North and South.,Liu Yu became powerful enough to dominate the imperial court through his career in the Northern Headquarters.,,,,Jiankang,32.05837,Asia,118.79647,,,,,,,,FALSE
Gupta Empire (Maghada reorganisation),320,,320,370,440,470,700,585,150-380 years,265,Empire,unknown,Southern Asia,Pataliputra (India),"Taagepera (1979), note on 550CE end date from Agrawal (2016)",,,,Major losses to White Huns in 470 and remains a rump state until 700. Agrawal (2016) gives end date of 550CE,,Pataliputra (India),25.6125,Asia,85.12833333,,,,,,,,FALSE
Eastern Roman Empire/ Byzantine Empire,330,395,362.5,395,555,1453,1475,1464,1058-1145 years,1101.5,Empire,unknown,Western Asia,Constantinpole,"Taagepera (1979) for beginning and peak, Haldon (2008) for end, Kaldellis (2016) formation low range, Shephard (2016) notes on 1204 minor collapse.",Conquered by the Ottomans.,,,"Technically the last outpost doesn't surrender until 1479, but the fall of Constantinople in 1453 effectively marks the end of the empire. Minor collapse? In 1204; stability of Byzantium lost with the Egyptian Fatimids and the Crusadors in the Levant collapsed. Constantinapole sacked and captured by the Crusadors and Byzantium divided between crusadors and Venetians.",Direct continuation of Roman Empire in the east,Constantinpole,41.01388889,Europe,28.95555556,,,,,,,,FALSE
Kadamba Empire,345,451,398,,435,540,,540,89-195 years,142,Empire,unknown,Southern Asia,"Banavasi, Halsi, Triparvata, Uchchangi","Seshat (2020), Early formation date and note from Mahalakshmi (2016)","Disintegration, partly due to succession disputes, followed by conquest by the Chalukyas of Badami.",,,Early formation date (345CE) when dynasty first appeared,,Banavasi,14.5341,Asia,75.0177,Halsi,15.54056111,74.59028333,Triparvata (Helebid/Halebidu),13.2157,75.9914,,FALSE
Earlier Ch'in,350,351,350.5,,376,394,,394,43-44 years,43.5,Empire,unknown,Eastern Asia,Hsien-Yang (Twitchett and Loewe 1995),"Taagepera (1979), early state formation from Qiu (1993)",Internal fragmentation.,,,,,Hsien-Yang (?luoyang),34.66972222,Asia,112.4422222,,,,,,,,FALSE
Juan-Juan (Yuen Yuen or Jou-Jan or Shou Shan or Rouran),375,402,388.5,400,405,552,555,553.5,150-180 years,165,Confederacy,unknown,Eastern Asia,"Mumo city, Orkhon River (Mongolia)","Taagepera (1979) and Kyzlasov (1196, Northern Nomads) for state type and earlier estimate. Qiu (1993) for late state formation and end dates. Verified with Kradin (2016), except Kradin states peak power date to be 552CE, not 405CE.",Conquered by Tú Chueg,,,Kradin (2016) states peak power date to be 552CE - large discrepancy with 405CE - needs to be looked into.,,Mumo city (unclear),,Asia,,Orkhon River (Mongolia),47.049722,101.341667,,,,,FALSE
Huns (Hunnic Empire),375,,375,380,441,454,460,457,79-85 years,82,Empire,unknown,Eastern Europe,Tongwancheng,"Taagepera (1979), relationship to previous polity and underlying cause of collapse from Kim (2016).",Conquered by the Gepids at the battle of Nedao.,The battle of Nedao the result of succession disputes following the death of Attila (535CE).,,Formation date of 375CE marks the expansion of the Huns into Europe,Culturally continuous with the Xiongnu,Tongwancheng,37.997515,Asia,108.862839,,,,,,,,FALSE
Northern Wei,385,386,385.5,440,450,535,577,556,149-192 years,170.5,Empire,Imperial Dynasty,Eastern Asia,Pingcheng (modern Datong in Shaanxi),"Qiu (1993) and Wilkinson (2018). Peak from Seshat (2020). Adulthood for Taagepera (1979), early end date and notes from Blitstein (2016).",Warlord succession,,,"Early end date refers to the 'Six Garrison Revolt' (rebellions in six Northern Wei Garrisons,535 CE) which marked the breakup of the Northern Wei into Eastern and Western Wei. Later date refers to warlord succesion of the Eastern and Western Wei.",,Pingcheng,40.08333333,Asia,113.3,,,,,,,,FALSE
Türk Khaganate (T'u Chueh) (Göktürk Khaganate),385,552,468.5,550,557,603,,603,51-218 years,134.5,Confederacy,Khaganate,Eastern Asia,"Ötüken (eastern), Suyab (western)","Taagepera (1979), late start date from Stark (2016)","Uighur Revolt. Rebellion by Bumin divided the Empire into Eastern and Western. The empire was enduring in some ways, but political unity among the East and West was sporadic and often only lasted 30 years.",,,Split between Eastern and Western Turks in 582  .,,Ötüken (modern day Ordu-Baliq?),47.431111,Asia,102.659444,Suyab,42.805222,75.199889,,,,,FALSE
Kidarite Kingdom,388,,388,,420,477,,477,89-89 years,89,Confederacy,unknown,Central Asia,"Balkh, Gandhara",Seshat (2020),,,,,,Balkh,36.75635,Asia,66.8972,"Gandhara (unclear, as this appears to be a region rathter than a city. It may be a mistake in Seshat).",,,,,,,FALSE
Visigoths,419,466,442.5,470,484,711,,711,245-292 years,268.5,Empire,unknown,Western Europe,"Toulouse, Toledo, Narbonne","Taagepera (1979), Rawls, (2016)",Conquered by the Arabian Empire.,,,First referred to as a Kingdom under Euric.,,Toulouse,43.6045,Europe,1.444,Toledo,39.856667,-4.024444,Narbonne,43.1836,3.0042,,FALSE
Vandals,429,,429,,,534,,534,105-105 years,105,Kingdom,unknown,"Western Europe, Northern Africa",,Merrils and Miles 2010,,,,,,,,,,,,,,,,,FALSE
White Huns (Hephthalite Huns),427,450,438.5,460,470,565,625,595,115-198 years,156.5,Empire,unknown,Southern Asia,"

Kunduz (Walwalij, Drapsaka, or Badian),  Balkh (Afghanistan)","Taagepera (1979), early start date, late end date and notes from Kurbanov (2016)",Conquered by Sassanids.,,,Small Hephthalite states continued to exist in Kapisa-Gandhara but were conquered before c.625CE,,"Kunduz (Walwalij, Drapsaka, or Badian)",36.728611,Asia,68.868056,Balkh,36.766667,66.9,,,,,FALSE
Southern Qi,479,,479,,,502,,502,23-23 years,23,Empire,Imperial Dynasty,Eastern Asia,Jiankang,Qiu (1993) and Wilkinson (2018),Warlord succession,,,,,Jiankang,32.05837,Asia,118.79647,,,,,,,,FALSE
Merovingian Kindgom,481,500,490.5,,751,752,,752,252-271 years,261.5,Kingdom,Dynasty,Western Europe,Paris,"Seshat (2020), Nelson (2016)",In 752   Childeric III was deposed and replaced by the Carolingian Dynasty.,,,"Combination of the early, middle and late Merovingian.",,Paris,48.856613,Europe,2.352222,,,,,,,,FALSE
Frankish (Francia),482,,482,,814,880,987,933.5,398-505 years,451.5,Empire,unknown,Western Europe,"Tournai (431–508),  Paris (508–768), Aachen (768–843)

",Taagepera (1997),Splintering in 880 followed by formal dissolution in 987.,,,,,Tournai,50.6,Europe,3.383333,Paris,48.856613,2.352222,Aachen,50.77555556,6.083611111,,FALSE
Maukhari Empire,487,,487,,,605,,605,118-118 years,118,Empire,unknown,Southern Asia,,Ghosh (2016),Grahavarman was killed by Devagupta of Malwa in 605 CE,,,Earliest mention of maukhari Dynasty of Kanauj on inscription Shankarpur village in Sidh district of Madhya Pradesh (487CE),,,,,,,,,,,,,FALSE
Ostrogothic Kingdom,489,493,491,,552,554,,554,61-65 years,63,Kingdom,unknown,Western Europe,Ravenna,"Seshat (2020), Burns (2016).",Defeated by the Byzantine Empire.,,,,,Ravenna,44.416667,Europe,12.2,,,,,,,,FALSE
Rai Dynasty of Sind,489,,489,,,632,,632,143-143 years,143,Kingdom,unknown,Southern Asia,Alor (Ar-Rur),Pal (2016),,,,,,,,,,,,,,,,,FALSE
Ghana Empire,500,1000,750,,,1076,1203,1139.5,76-703 years,389.5,Empire,unknown,Western Africa,Kumbi Saleh (Ghana),"Seshat (2020), early start and ends dates and proximate and ultimate causes of collapse from MacDonald (2016).","Possibly conquest or ""islamisation"" by the Almoravid 1076. Certainly Ghana empire fragmented and dominated by independent successor kingdoms by c.1200.","Legend of Wagadu (curse resulting in drought and end of gold supply) may be a metaphor for decline by ""a classic combination of factors… religious upheaval, environmental crisis, a weakening of central authority, and the rebellion of regional authorities anxious to (re-)assert their identities and local power."" (pg.4)",,"Combination of the Ghana Empire I and II (Wagadu Middle and Late Period) as they appear to be a continuation of the same polity. Difficult to determine chronology due to disjunction between Arabic historic, oral history and archaeological sources. Formation low range from 17th century Tarikh es-Soudan which claims 22 kings reigned in Ghana before Hegira, giving origins around 500CE.",,Kumbi Saleh (Ghana),15.82213611,Africa,-7.989872222,,,,,,,,FALSE
Maitraka Empire,500,550,525,,,767,,767,217-267 years,242,Empire,unknown,Southern Asia,Valabhi,Pal (2016),Possibly Arab invasion but souces are not robust.,,,Independence from the Guptas in the second half of the 6th century (after Gupta collapse),,,,,,,,,,,,,FALSE
Kalingga Kingdom,500,,500,,,731,,731,231-231 years,231,Kingdom,unknown,South-Eastern Asia,Unknown,Seshat (2020),,,,Potentially exclude. Very little historical or archaelogical data.,,Unknown (used Pekalongan as a proxy).,-6.883333,Asia,109.666667,,,,,,,,FALSE
Tiwanaku,500,,500,,,1000,,1000,500-500 years,500,Empire,unknown,South America,Tiwanaku,"Middleton (2017), Janusek (2004) for end date. Delaere et al (2019) for state formation date.",,"Climate change, complexity.",,,,Tiwanaku,-16.55472222,S.America,-68.67333333,,,,,,,,FALSE
Liang,502,,502,,549,557,585,571,55-83 years,69,Empire,Imperial Dynasty,Eastern Asia,"Jiankang (502–552, 555–557), Jiangling (552–555)","Taagepera (1979), early end date by Qiu (1993) and Wilkinson (2018).",Warlords.,,,,,Jiankang,32.05837,Asia,118.79647,Jiangling,30.042475,112.4247861,,,,,FALSE
Western Wei,534,535,534.5,,,556,557,556.5,21-23 years,22,Empire,Imperial Dynasty,Eastern Asia,Chang'an,"Qiu (1993) and Wilkinson (2018). Late state formation and early state end by Wilkinson (2018), verified with Blitstein (2016).",Warlords.,,,,,Chang'an,34.26666667,Asia,108.9,,,,,,,,FALSE
Eastern Wei,534,,534,,,550,,550,16-16 years,16,Empire,Imperial Dynasty,Eastern Asia,"Luoyang (534), Yecheng (534–550)","Qiu (1993) and Wilkinson (2018), causes from Blitstein (2016)",Warlord succesion,,,,,Luoyang,34.66972222,Asia,112.4422222,Yecheng,36.2748,114.4002,,,,,FALSE
Asuka Period,538,,538,,,710,,710,172-172 years,172,Kingdom,unknown,Eastern Asia,Naniwa,Seshat (2020),Period ends with the abdication of Jito Tenno in favor of her son Mommu and the movement of the caital to the Heij? Palace of Nara.,,,,,Asuka,34.033333,Asia,135.816667,,,,,,,,FALSE
Chalukyas of Badami (Chalukya Dynasty),543,,543,,609,750,,750,207-207 years,207,Empire,unknown,Southern Asia,Badami,"Seshat (2020), Proximate cause of collapse and notes from Mahalakshmi (2016).","Rise of the Rashtrakuta king Dantidurga, who defeated Kirtivarman II in 752-753",,,Vengi and Kalyana Chalukya lineages claimed common ancestry from the Chalukyas of Badami but their origins/timelines not clear in The Encyclopedia of Empire.,Continous with Kadamba Empire.,Badami,15.92,Asia,75.68027778,,,,,,,,FALSE
Northern Qi,550,,550,,,577,,577,27-27 years,27,Empire,Imperial Dynasty,Eastern Asia,Yecheng,Qiu (1993) and Wilkinson (2018),Warlords.,,,,,Yecheng,36.2748,Asia,114.4002,,,,,,,,FALSE
Northern Zhou (Northern Chou),556,557,556.5,,,581,,581,24-25 years,24.5,Empire,Imperial Dynasty,Eastern Asia,Chang'an,"Taagepera (1979), Wilkinson (2018), early state formation date from Qiu (1993).",Internal overthrow by the Sui Dynasty (shift).,,,,,Chang'an,34.26666667,Asia,108.9,,,,,,,,FALSE
Chen,557,,557,,,589,,589,32-32 years,32,Empire,Imperial Dynasty,Eastern Asia,Jiankang,Qiu (1993) and Wilkinson (2018),Warlord succession,,,,,Jiankang,32.05837,Asia,118.79647,,,,,,,,FALSE
Avars (Avar Khaganate),558,,558,580,600,796,,796,238-238 years,238,Empire,unknown,Eastern Europe,Pannonia,Taagepera (1979),Conquered by Charlemagne.,,,,,"Pannonia (basin or region, not a clear city).",,,,,,,,,,,FALSE
Lombard Kingdom,569,,569,,,774,,774,205-205 years,205,Kingdom,unknown,Southern Europe,,Gasparri (2016),Defeated by the Franks,The papacy sided with the Franks rather than the Lombards. Alliance between the Franks and the papacy allowed for Frank conquest,,Late start date refers to Lombard arrival in Italy (569),,,,,,,,,,,,,FALSE
Sui,581,,581,,589,617,618,617.5,36-37 years,36.5,Empire,Imperial Dynasty,Eastern Asia,"Daxing (581–605), Luoyang (605–618)","Taagepera (1979), Qui (1998) and Wilkinson (2018). Early state end from Seshat (2020), verified with Liao (2016).",Mass rebellion. Overthrow by the Tang Dynasty. (Warlords).,Overtaxation to  finance the Great Wall and other major projects. Inequality.,,,,Daxing,34.26666667,Asia,108.9,Luoyang,34.66972222,112.4422222,,,,,FALSE
Western Turks ( Western Turkic Khaganate),582,,582,582,630,745,,745,163-163 years,163,Confederacy,Khaganate,Eastern Asia,"Navekat (summer capital), Suyab (principal capital)",Taagepera (1979),,,,,,Navekat (summer capital) (used Biskek as modern-day proxy).,42.874722,Asia,74.612222,Suyab,42.805222,75.199889,,,,,FALSE
Pandyan Empire,590,,590,,,1311,,1311,721-721 years,721,Empire,Kingdom,Southern Asia,Madurai,Dalziel (2016),Invasion by the Delhi Sultanate.,,,"The kingdom could have existed since the 3rd century BCE as a confederacy. There is wrriten evidence from Ashoka's reign that it was considered a kingdom at the time. However, it's continuity and dominance during this period are difficult to ascertain. Hence we've opted for the first period of imperial dominance as the rise date. Under Chola rule for much of the 10th and 11th centuries",,,,,,,,,,,,,FALSE
Wari,600,650,625,,750,1000,,1000,350-400 years,375,Empire,unknown,South America,Huari,"Middleton (2017), verified with (2016).",,Spread of revolutionary ideas (potentially from Tiwanaku).,,,,Huari,-9.348205556,S.America,-77.17084167,,,,,,,,FALSE
Eastern turk (Eastern Turkic Khaganate,603,,603,,,744,,744,141-141 years,141,Confederacy,Khaganate,Central Asia,,Stark (2016),Elite revolts and succession crisis.,Elite fracture and competition.,,,,,,,,,,,,,,,FALSE
Harsha (Kanyakubia) (Pushyabhuti dynasty),606,,606,,625,648,,648,42-42 years,42,Empire,unknown,Southern Asia,"Sthanvishvara (modern Thanesar), Kanyakubja (modern Kannauj)",Taagepera (1997),Harsha's death followed by rapid fragmentation.,,,,,Sthanvishvara (modern Thanesar),29.965717,Asia,76.837006,Kanyakubja (modern Kannauj),27.07,79.92,,,,,FALSE
Tang Dynasty,618,,618,,820,907,,907,289-289 years,289,Empire,Imperial Dynasty,Eastern Asia,"Chang'an (618–684 and 705–904), Luoyang (684–705 and 904–907)",Qiu (1993) and Wilkinson (2018). Peak date from Seshat (2020). Ultimate cause of collapse from Liao (2016).,Warlords.,"In the 8th century borders challenged by others polities (empire over-stretched by expansion?), military repositioned to borders in response. Decentralised armies allowed for a revolt and capture of the capital in 755 led by An Lusan. Tang forced to seek help from uyghur Khaganate. These had long-lasting impact on the empire (See Liao (2016: ) for detailed argument).",,Combination of early and late Tang in Seshat (2020),,Chang'an,34.26666667,Asia,108.9,Luoyang,34.66972222,112.4422222,,,,,FALSE
